rent_category;year;rendabiliteit;n;perc
free;2020;binnen_bb;24;1,54838709677419
free;2020;boven_bb;1493;96,32258064516130
free;2020;onder_bb;33;2,12903225806452
free;2022;binnen_bb;73;4,70967741935484
free;2022;boven_bb;340;21,93548387096774
free;2022;onder_bb;1137;73,35483870967742
middle;2020;binnen_bb;30;1,26849894291755
middle;2020;boven_bb;2185;92,38900634249472
middle;2020;onder_bb;150;6,34249471458774
middle;2022;binnen_bb;29;1,22621564482030
middle;2022;boven_bb;98;4,14376321353066
middle;2022;onder_bb;2238;94,63002114164905
social;2020;binnen_bb;21;1,32659507264687
social;2020;boven_bb;1427;90,14529374605181
social;2020;onder_bb;135;8,52811118130133
social;2022;binnen_bb;28;1,76879343019583
social;2022;boven_bb;145;9,15982312065698
social;2022;onder_bb;1410;89,07138344914719
