Scenario;rent_category;n;mean_verlies;mediaan_verlies;mediaan_verlies_geraakt;mediaan_perc_verlies;aantal_geraakt_door_maatregelen
irr_Box3_aanpassingen_Rutte_IV;free;1550;1,3626355843813676;1,15778059816450;1,15911315194842;16,4589511825040;0,9948387096774194
irr_Box3_aanpassingen_Rutte_IV;middle;2365;1,3340606049997730;1,10191381820901;1,10445892928576;15,6404487759960;0,9928118393234673
irr_Box3_aanpassingen_Rutte_IV;social;1583;1,2758093305541993;1,19824805988920;1,24195594972953;13,8090248647822;0,9747315224257739
irr_Dwingend_WWS;free;1550;0,0000000000000000;0,00000000000000;NA;0,0000000000000;0,0000000000000000
irr_Dwingend_WWS;middle;2365;0,6156015623791855;0,00000000000000;2,25421056082860;0,0000000000000;0,2604651162790698
irr_Dwingend_WWS;social;1583;3,3374169101801932;2,82283577134233;2,99473405486639;31,9085914810069;0,9273531269740998
irr_Dwingend_WWS_plus_Middenhuur;free;1550;0,0567059005868259;0,00000000000000;0,49917021878494;0,0000000000000;0,0819354838709677
irr_Dwingend_WWS_plus_Middenhuur;middle;2365;2,7810593430848649;2,41802100916013;2,48039466707781;31,0902253818753;0,9365750528541226
irr_Dwingend_WWS_plus_Middenhuur;social;1583;3,6512357524190846;3,11542298422341;3,30149218584890;34,6340396373183;0,9279848389134555
irr_Stijging_Rente;free;1550;1,7060990066350643;1,66629281842139;1,67238153754549;21,2652949779935;0,9935483870967742
irr_Stijging_Rente;middle;2365;1,7798306427090438;1,72805776812995;1,73183045202738;21,6184345753775;0,9919661733615222
irr_Stijging_Rente;social;1583;1,8041343043928262;1,80481345757671;1,82121747449481;20,3280205637203;0,9766266582438408
irr_Verhoging_OVB;free;1550;1,3719745212552776;1,35397520686572;1,35527800832842;17,7843247067703;0,9948387096774194
irr_Verhoging_OVB;middle;2365;1,3717233035731344;1,37273793609530;1,37467792072415;17,4818813195639;0,9932346723044397
irr_Verhoging_OVB;social;1583;1,4071223934691708;1,43773925613556;1,44127165563249;15,0962802230954;0,9816803537586860
